name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Dioscorea mucronata,Dioscoreaceae,Dioscorea,mucronata,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 7: 188. 1917 ,Notizbl. Bot. Gart. Berlin-Dahlem,1917,Brazil (Southern America),80945-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=188&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80945-2,tax_nov,IPNI,NA
Dioscorea nuda,Dioscoreaceae,Dioscorea,nuda,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 351. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80968-2,NA,NA,www.ipni.org/n/80968-2,tax_nov,IPNI,NA
Dioscorea nutans,Dioscoreaceae,Dioscorea,nutans,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 182. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80969-2,NA,NA,www.ipni.org/n/80969-2,tax_nov,IPNI,NA
Dioscorea occidentalis,Dioscoreaceae,Dioscorea,occidentalis,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 299. 1924 ",Pflanzenr. (Engler),1924,West Indies; Brazil,80973-2,NA,NA,www.ipni.org/n/80973-2,tax_nov,IPNI,NA
Dioscorea organensis,Dioscoreaceae,Dioscorea,organensis,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 106. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80974-2,NA,NA,www.ipni.org/n/80974-2,tax_nov,IPNI,NA
Dioscorea orthogoneura,Dioscoreaceae,Dioscorea,orthogoneura,spec.,Bull. New York Bot. Gard. 6: 267. 1910 ,Bull. New York Bot. Gard.,1910,"Goiás (Brazil, Southern America)",80975-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1910&rft.spage=267&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/44786&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80975-2,tax_nov,IPNI,NA
Dioscorea ovata,Dioscoreaceae,Dioscorea,ovata,spec.,Fl. Flumin. Icon. 10: t. 117. 1831 [1827 publ. 29 Oct 1831] ,Fl. Flumin. Icon.,1831,Brazil (Southern America),323919-2,NA,NA,www.ipni.org/n/323919-2,tax_nov,IPNI,NA
Dioscorea pallidinervia,Dioscoreaceae,Dioscorea,pallidinervia,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 75. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80981-2,NA,NA,www.ipni.org/n/80981-2,tax_nov,IPNI,NA
Dioscorea perdicum,Dioscoreaceae,Dioscorea,perdicum,spec.,"Bot. Jahrb. Syst. 15(2, Beibl. 34): 13. 1892 [5 Apr 1892] ",Bot. Jahrb. Syst.,1892,Brazil (Southern America),80995-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/337208&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/80995-2,tax_nov,IPNI,NA
Dioscorea piauhyensis,Dioscoreaceae,Dioscorea,piauhyensis,spec.,"Pflanzenr. (Engler) 4, Fam. 43: 64. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),80999-2,NA,NA,www.ipni.org/n/80999-2,tax_nov,IPNI,NA
Dioscorea pilgeriana,Dioscoreaceae,Dioscorea,pilgeriana,spec.,Repert. Spec. Nov. Regni Veg. 42: 177. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,"Minas Gerais (Brazil, Southern America)",81002-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=177&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/81002-2,tax_nov,IPNI,NA
Dioscorea piperifolia,Dioscoreaceae,Dioscorea,piperifolia,spec.,Fl. Bras. (Martius) 3(1): 42. 1842 [1 Apr 1842] ,Fl. Bras. (Martius),1842,Brazil (Southern America),324024-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135478&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,later homonym (non Humb. & Bonpl. ex Willd. 1806),www.ipni.org/n/324024-2,tax_nov,IPNI,NA
