name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Ouratea engleri,86121,Ouratea engleri,177533-2,Ochnaceae,Ouratea,engleri,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 259. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177533-2,tax_nov,IPNI,NA
Ouratea garcinioides,86122,Ouratea garcinioides,177542-2,Ochnaceae,Ouratea,garcinioides,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 338. 1915 ,Notizbl. Königl. Bot. Gart. Berlin,1915,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=338&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177542-2,tax_nov,IPNI,NA
Ouratea gracilis,614260,Ouratea gracilis,77194933-1,Ochnaceae,Ouratea,gracilis,spec.,Syst. Bot. 43(3): 765. 2018 [10 Aug 2018] [epublished],Syst. Bot.,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.1600/036364418X697481,www.ipni.org/n/77194933-1,tax_nov,IPNI,https://doi.org/10.1600/036364418X697481
Ouratea hatschbachii,25895,Ouratea hatschbachii,303638-2,Ochnaceae,Ouratea,hatschbachii,spec.,"Bol. Bot. Univ. São Paulo 14: 34, fig. 1995 ",Bol. Bot. Univ. São Paulo,1995,"Grao Mogol, arredores, em solo arenoso, entre a base dos¹morros e rio, Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/303638-2,tax_nov,IPNI,NA
Ouratea heterodonta,604072,Ouratea heterodonta,177550-2,Ochnaceae,Ouratea,heterodonta,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 262. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177550-2,tax_nov,IPNI,NA
Ouratea hilaireana,603207,Ouratea hilaireana,177553-2,Ochnaceae,Ouratea,hilaireana,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 258. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177553-2,tax_nov,IPNI,NA
Ouratea hoehnei,116572,Ouratea hoehnei,177554-2,Ochnaceae,Ouratea,hoehnei,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 13: 350. 1936 ,Notizbl. Bot. Gart. Berlin-Dahlem,1936,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=350&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/177554-2,tax_nov,IPNI,NA
Ouratea javariensis,105674,Ouratea javariensis,60439148-2,Ochnaceae,Ouratea,javariensis,spec.,"Adansonia ser. 3, 27(1): 85 (-88; figs. 1-2). 2005 [30 Jun 2005] ",Adansonia,2005,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/60439148-2,tax_nov,IPNI,NA
Ouratea lancifolia,128639,Ouratea lancifolia,77125729-1,Ochnaceae,Ouratea,lancifolia,spec.,Revista Brasil. Bot. 34(4): 603. 2011 ,Revista Brasil. Bot.,2011,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,NA,www.ipni.org/n/77125729-1,tax_nov,IPNI,NA
Ouratea longipes,19929,Ouratea longipes,177578-2,Ochnaceae,Ouratea,longipes,spec.,"Bull. Jard. Bot. Natl. Belg. 51: 408, fig. 1981 ",Bull. Jard. Bot. Natl. Belg.,1981,Brazil (Southern America),NA,NA,www.ipni.org/n/177578-2,tax_nov,IPNI,NA
Ouratea margaretae,31711,Ouratea margaretae,177585-2,Ochnaceae,Ouratea,margaretae,spec.,"Bull. Jard. Bot. Natl. Belg. 51: 406, fig. 1981 ",Bull. Jard. Bot. Natl. Belg.,1981,Brazil (Southern America),NA,"Etymology: dedicated to Margareth Emmerich who collected it for the first time. The published epithet margaretae is not correctible, presumed to have been based on Margareta, late Latin form of Margaret.",www.ipni.org/n/177585-2,tax_nov,IPNI,NA
Ouratea orgyalis,116718,Ouratea orgyalis,177595-2,Ochnaceae,Ouratea,orgyalis,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 334. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/177595-2,tax_nov,IPNI,NA
Ouratea palmata,116805,Ouratea palmata,177597-2,Ochnaceae,Ouratea,palmata,spec.,"Ann. Sci. Nat., Bot. sér. 8, 16: 260. 1902 ","Ann. Sci. Nat., Bot.",1902,Brazil (Southern America),NA,NA,www.ipni.org/n/177597-2,tax_nov,IPNI,NA
